date,IPS-Patienten,davon Covid-19-Patienten,BettenkapazitÃ¤t,Zertifizierte Betten
2020-10-01,649,34,986,841
2020-10-02,655,29,988,841
2020-10-03,656,29,986,841
2020-10-04,662,29,986,841
2020-10-05,639,36,996,847
2020-10-06,656,36,984,841
2020-10-07,659,35,985,841
2020-10-08,688,41,994,853
2020-10-09,665,42,985,844
2020-10-10,658,44,975,836
2020-10-11,655,44,981,836
2020-10-12,605,43,1005,850
2020-10-13,639,50,997,850
2020-10-14,663,46,1015,865
2020-10-15,677,56,1012,859
2020-10-16,669,62,1012,859
2020-10-17,661,66,1004,844
2020-10-18,660,74,1013,853
2020-10-19,662,94,1011,853
2020-10-20,661,102,1007,847
2020-10-21,670,118,1006,854
2020-10-22,665,128,1006,854
2020-10-23,705,147,1018,850
2020-10-24,706,153,1019,849
2020-10-25,694,156,1020,854
2020-10-26,657,189,1013,849
2020-10-27,696,220,1009,849
2020-10-28,704,219,1032,849
2020-10-29,695,239,1039,849
2020-10-30,694,257,1033,849
2020-10-31,700,283,1023,841
2020-11-01,681,300,1041,841
2020-11-02,709,331,1059,854
2020-11-03,770,366,1083,874
2020-11-04,756,391,1002,880
2020-11-05,783,420,1039,868
2020-11-06,793,443,1056,870
2020-11-07,781,452,1065,870
2020-11-08,766,458,1063,876
2020-11-09,779,463,1076,919
2020-11-10,817,492,1089,919
2020-11-11,817,492,1102,923
2020-11-12,832,502,1104,925
2020-11-13,844,490,1113,878
2020-11-14,840,505,1126,886
2020-11-15,815,513,1129,884
2020-11-16,842,523,1140,887
2020-11-17,862,534,1143,887
2020-11-18,858,530,1143,874
2020-11-19,874,525,1133,866
2020-11-20,870,534,1132,867
2020-11-21,854,525,1131,868
2020-11-22,842,531,1138,868
2020-11-23,863,525,1124,868
2020-11-24,846,508,1126,868
2020-11-25,870,507,1127,868
2020-11-26,860,496,1125,868
2020-11-27,854,487,1118,865
2020-11-28,850,487,1115,865
2020-11-29,837,493,1111,865
2020-11-30,861,481,1114,865
2020-12-01,863,480,1113,875
2020-12-02,877,489,1113,877
2020-12-03,850,475,1112,877
2020-12-04,856,464,1110,877
2020-12-05,849,473,1105,877
2020-12-06,843,463,1102,880
2020-12-07,836,458,1097,876
2020-12-08,848,461,1097,877
2020-12-09,852,461,1090,865
2020-12-10,848,471,1087,865
2020-12-11,825,469,1082,865
2020-12-12,816,464,1082,859
2020-12-13,798,469,1078,859
2020-12-14,810,477,1070,859
2020-12-15,820,469,1082,865
2020-12-16,838,477,1084,865
2020-12-17,809,473,1076,865
2020-12-18,788,453,1071,865
2020-12-19,796,450,1068,841
2020-12-20,756,448,1066,841
2020-12-21,750,445,1065,841
2020-12-22,763,445,1048,863
2020-12-23,752,448,1043,863
2020-12-24,765,447,1041,863
2020-12-25,750,446,1037,863
2020-12-26,737,449,1025,889
2020-12-27,745,459,1030,889
2020-12-28,730,445,1041,864
2020-12-29,756,437,1042,864
2020-12-30,743,424,1041,864
2020-12-31,733,424,1035,864
2021-01-01,724,421,1032,861
2021-01-02,723,421,1030,861
2021-01-03,736,428,1032,861
2021-01-04,771,434,1039,862
2021-01-05,777,443,1042,864
2021-01-06,784,438,1045,865
2021-01-07,787,420,1035,864
2021-01-08,783,408,1040,864
2021-01-09,731,396,1038,864
2021-01-10,713,394,1036,864
2021-01-11,738,400,1037,864
2021-01-12,751,380,1047,865
2021-01-13,782,374,1045,865
2021-01-14,782,379,1033,865
2021-01-15,795,372,1026,864
2021-01-16,746,365,1026,864
2021-01-17,740,359,1026,864
2021-01-18,741,346,1014,864
2021-01-19,746,340,1015,864
2021-01-20,762,329,1010,864
2021-01-21,745,320,1008,864
2021-01-22,747,331,1001,864
2021-01-23,724,315,995,864
2021-01-24,720,308,996,864
2021-01-25,728,298,998,864
2021-01-26,729,290,994,864
2021-01-27,737,283,996,864
2021-01-28,745,291,1000,864
2021-01-29,725,294,990,850
2021-01-30,692,271,980,850
2021-01-31,684,280,976,850
2021-02-01,703,284,982,864
2021-02-02,700,268,985,864
2021-02-03,709,264,981,864
2021-02-04,714,260,982,864
2021-02-05,716,257,978,866
2021-02-06,707,249,983,866
2021-02-07,684,247,979,866
2021-02-08,695,253,980,866
2021-02-09,703,250,977,866
2021-02-10,715,248,977,866
2021-02-11,686,241,976,866
2021-02-12,690,233,981,864
2021-02-13,682,223,984,864
2021-02-14,672,220,985,864
2021-02-15,679,233,986,864
2021-02-16,689,216,971,851
2021-02-17,685,208,978,851
2021-02-18,680,211,982,865
2021-02-19,672,205,975,860
2021-02-20,642,196,971,860
2021-02-21,663,198,971,860
2021-02-22,639,195,976,859
2021-02-23,641,188,986,865
2021-02-24,654,191,985,865
2021-02-25,672,194,985,865
2021-02-26,674,184,985,865
2021-02-27,647,178,974,865
2021-02-28,630,179,970,865
2021-03-01,671,173,971,865
2021-03-02,674,187,971,865
2021-03-03,686,172,963,859
2021-03-04,699,174,954,859
2021-03-05,654,169,954,859
2021-03-06,636,169,952,859
2021-03-07,613,175,945,859
2021-03-08,653,178,955,865
2021-03-09,663,171,964,865
2021-03-10,663,174,967,865
2021-03-11,677,167,969,865
2021-03-12,669,155,955,853
2021-03-13,673,174,954,853
2021-03-14,634,167,952,853
2021-03-15,666,175,969,865
2021-03-16,643,167,947,845
2021-03-17,671,159,947,845
2021-03-18,666,158,942,845
2021-03-19,669,162,944,845
2021-03-20,649,167,934,845
2021-03-21,620,172,936,845
2021-03-22,640,164,940,844
2021-03-23,628,168,928,832
2021-03-24,667,167,929,832
2021-03-25,658,164,933,832
2021-03-26,655,162,930,832
2021-03-27,627,166,927,832
2021-03-28,600,164,928,832
2021-03-29,621,163,939,844
2021-03-30,668,171,937,844
2021-03-31,659,165,934,844
2021-04-01,636,163,935,844
2021-04-02,604,164,926,850
2021-04-03,603,177,929,850
2021-04-04,575,178,924,850
2021-04-05,611,187,929,850
2021-04-06,620,182,931,836
2021-04-07,636,194,923,838
2021-04-08,642,191,908,838
2021-04-09,622,196,908,838
2021-04-10,614,199,901,838
2021-04-11,592,201,904,838
2021-04-12,615,203,896,838
2021-04-13,635,216,902,838
2021-04-14,653,221,911,850
2021-04-15,659,233,912,850
2021-04-16,669,244,912,850
2021-04-17,647,252,907,850
2021-04-18,625,248,906,850
2021-04-19,672,247,912,850
2021-04-20,687,243,920,850
2021-04-21,706,242,919,850
2021-04-22,682,240,908,838
2021-04-23,678,246,907,838
2021-04-24,656,246,902,838
2021-04-25,636,246,900,838
2021-04-26,680,249,912,838
2021-04-27,682,250,908,838
2021-04-28,660,255,905,838
2021-04-29,683,253,905,838
2021-04-30,676,252,906,838
2021-05-01,664,246,898,838
2021-05-02,631,237,896,838
2021-05-03,631,237,896,838
2021-05-04,678,219,895,838
2021-05-05,691,227,906,852
2021-05-06,682,214,906,851
2021-05-07,659,213,902,851
2021-05-08,645,209,898,851
2021-05-09,639,203,895,851
2021-05-10,642,205,904,851
2021-05-11,642,191,902,850
2021-05-12,656,192,899,850
2021-05-13,605,186,891,850
2021-05-14,618,195,886,843
2021-05-15,627,203,879,843
2021-05-16,603,199,878,843
2021-05-17,608,186,892,850
2021-05-18,657,180,893,850
2021-05-19,666,178,895,850
2021-05-20,652,163,888,850
2021-05-21,642,165,885,850
2021-05-22,612,158,874,850
2021-05-23,593,159,873,850
2021-05-24,601,156,873,850
2021-05-25,627,146,885,850
2021-05-26,622,139,885,850
2021-05-27,643,143,877,841
2021-05-28,648,138,883,850
2021-05-29,619,137,874,850
2021-05-30,602,132,873,850
2021-05-31,593,134,875,850
2021-06-01,630,130,878,850
2021-06-02,632,127,884,862
2021-06-03,657,128,886,862
2021-06-04,627,124,886,862
2021-06-05,611,123,882,862
2021-06-06,592,123,881,862
2021-06-07,587,111,886,861
2021-06-08,611,105,885,866
2021-06-09,625,103,885,866
2021-06-10,633,100,886,866
2021-06-11,646,99,883,866
2021-06-12,612,95,878,866
2021-06-13,572,92,876,866
2021-06-14,551,90,886,861
2021-06-15,601,83,884,861
2021-06-16,610,73,886,861
2021-06-17,606,75,886,861
2021-06-18,602,74,892,861
2021-06-19,604,66,885,861
2021-06-20,611,71,885,861
2021-06-21,603,70,883,861
2021-06-22,635,61,888,861
2021-06-23,641,55,889,861
2021-06-24,621,55,889,861
2021-06-25,608,49,876,855
2021-06-26,554,49,868,855
2021-06-27,559,50,868,855
2021-06-28,567,47,870,855
2021-06-29,589,43,870,855
2021-06-30,584,36,874,855
2021-07-01,578,36,866,844
2021-07-02,614,33,866,844
2021-07-03,598,34,866,844
2021-07-04,577,35,867,844
2021-07-05,566,28,865,844
2021-07-06,593,28,861,844
2021-07-07,597,26,861,844
2021-07-08,582,24,865,844
2021-07-09,592,24,863,844
2021-07-10,575,26,860,844
2021-07-11,573,26,858,844
2021-07-12,595,25,869,844
2021-07-13,618,24,869,844
2021-07-14,609,21,868,844
2021-07-15,626,24,865,844
2021-07-16,617,26,862,843
2021-07-17,618,25,866,843
2021-07-18,605,25,863,843
2021-07-19,580,33,862,844
2021-07-20,589,32,864,844
2021-07-21,597,30,862,844
2021-07-22,608,31,864,844
2021-07-23,603,32,868,850
2021-07-24,589,35,866,850
2021-07-25,570,34,866,850
2021-07-26,579,40,868,850
2021-07-27,596,38,868,850
2021-07-28,593,38,866,850
2021-07-29,589,35,867,850
2021-07-30,605,36,871,850
2021-07-31,597,42,869,850
2021-08-01,587,41,868,850
2021-08-02,557,44,865,850
2021-08-03,593,48,864,850
2021-08-04,600,52,866,850
2021-08-05,579,55,864,850
2021-08-06,581,56,862,850
2021-08-07,574,59,864,850
2021-08-08,563,59,864,850
2021-08-09,566,72,873,850
2021-08-10,609,76,873,850
2021-08-11,618,79,875,850
2021-08-12,628,83,875,850
2021-08-13,621,91,875,850
2021-08-14,612,94,870,850
2021-08-15,605,96,869,850
2021-08-16,622,122,870,850
2021-08-17,657,144,870,850
2021-08-18,654,163,856,850
2021-08-19,657,170,849,850
2021-08-20,646,181,848,850
2021-08-21,636,190,842,850
2021-08-22,619,195,836,850
2021-08-23,645,215,838,850
2021-08-24,690,224,849,850
2021-08-25,685,230,847,850
2021-08-26,681,237,850,850
2021-08-27,686,249,854,850
2021-08-28,675,271,861,867
2021-08-29,679,287,905,907
2021-08-30,684,284,902,908
2021-08-31,698,275,900,908
2021-09-01,724,286,901,898
2021-09-02,720,297,899,898
2021-09-03,729,300,903,898
2021-09-04,704,298,889,898
2021-09-05,654,287,844,863
2021-09-06,656,293,863,871
2021-09-07,680,290,865,871
2021-09-08,696,296,866,872
2021-09-09,680,283,853,871
2021-09-10,662,285,848,871
2021-09-11,643,281,830,860
2021-09-12,651,280,824,862
2021-09-13,655,281,859,877
2021-09-14,663,272,859,877
2021-09-15,664,268,857,878
2021-09-16,678,267,861,878
2021-09-17,671,273,859,878
2021-09-18,666,267,852,878
2021-09-19,649,259,843,878
2021-09-20,645,237,848,863
2021-09-21,642,228,848,863
2021-09-22,651,228,843,863
2021-09-23,650,207,866,863
2021-09-24,619,213,842,863
2021-09-25,629,207,831,863
2021-09-26,631,210,831,863
2021-09-27,645,200,842,863
2021-09-28,658,189,844,870
2021-09-29,643,185,846,874
2021-09-30,646,177,855,884
2021-10-01,654,175,857,885
2021-10-02,629,170,838,884
2021-10-03,613,162,835,874
2021-10-04,615,157,845,874
2021-10-05,656,165,847,875
2021-10-06,633,160,843,873
2021-10-07,624,159,836,863
2021-10-08,629,150,832,863
2021-10-09,607,148,826,863
2021-10-10,599,140,824,863
2021-10-11,589,143,834,863
2021-10-12,610,133,833,863
2021-10-13,606,130,832,863
2021-10-14,614,124,828,863
2021-10-15,596,120,832,863
2021-10-16,612,119,831,863
2021-10-17,573,118,825,863
2021-10-18,571,113,838,863
2021-10-19,599,109,838,863
2021-10-20,620,114,845,871
2021-10-21,640,104,848,871
2021-10-22,606,101,846,871
2021-10-23,609,102,836,871
2021-10-24,584,105,839,871
2021-10-25,582,100,842,871
2021-10-26,592,99,844,871
2021-10-27,603,102,836,863
2021-10-28,636,112,839,863
2021-10-29,615,113,838,863
2021-10-30,590,106,829,863
2021-10-31,589,102,829,863
2021-11-01,587,111,838,863
2021-11-02,613,108,837,863
2021-11-03,633,101,839,864
2021-11-04,649,104,840,866
2021-11-05,650,105,843,866
2021-11-06,632,115,834,866
2021-11-07,614,118,832,866
2021-11-08,647,119,845,866
2021-11-09,642,125,846,866
2021-11-10,628,122,844,866
2021-11-11,645,121,843,866
2021-11-12,651,125,845,866
2021-11-13,640,129,837,866
2021-11-14,622,129,837,866
2021-11-15,629,129,845,867
2021-11-16,650,141,847,867
2021-11-17,653,145,848,872
2021-11-18,683,150,849,872
2021-11-19,649,154,845,873
2021-11-20,627,150,836,873
2021-11-21,619,165,865,879
2021-11-22,640,173,850,879
2021-11-23,680,171,854,881
2021-11-24,670,186,858,881
2021-11-25,694,191,851,880
2021-11-26,709,200,847,880
2021-11-27,668,213,846,880
2021-11-28,645,216,838,875
2021-11-29,660,224,836,874
2021-11-30,686,231,847,874
2021-12-01,696,230,843,874
2021-12-02,683,239,844,874
2021-12-03,681,242,844,872
2021-12-04,662,246,837,872
2021-12-05,655,256,837,872
2021-12-06,674,263,844,872
2021-12-07,690,259,844,872
2021-12-08,692,263,841,873
2021-12-09,691,289,843,874
2021-12-10,678,274,843,871
2021-12-11,685,269,838,871
2021-12-12,689,291,838,878
2021-12-13,693,303,859,886
2021-12-14,696,289,863,886
2021-12-15,689,296,857,879
2021-12-16,710,294,859,877
2021-12-17,701,299,857,879
2021-12-18,679,299,853,879
2021-12-19,678,314,854,879
2021-12-20,676,313,858,879
2021-12-21,690,313,865,879
2021-12-22,670,316,866,879
2021-12-23,688,310,862,879
2021-12-24,664,316,852,880
2021-12-25,663,329,846,875
2021-12-26,671,327,853,876
2021-12-27,689,329,856,876
